train_number,line_direction_cid,direction_chinese,station_id,station_name,car_number_cn1,car_number_cn2,car1_congestion,car2_congestion,car3_congestion,car4_congestion,update_time,timestamp
"137,200",2,上行,BR06,麟光,137,200,1,1,1,1,2025-07-14 21:44:29,2025-07-14 21:44:29
"127,120",1,下行,BR19,內湖,127,120,1,1,1,1,2025-07-14 21:44:24,2025-07-14 21:44:24
"199,128",2,上行,BR19,內湖,199,128,1,1,2,2,2025-07-14 21:44:10,2025-07-14 21:44:10
"101,114",1,下行,BR22,東湖,101,114,1,1,1,1,2025-07-14 21:44:10,2025-07-14 21:44:10
"135,201",2,上行,BR14,大直,135,201,2,2,1,2,2025-07-14 21:44:00,2025-07-14 21:44:00
"111,142",1,下行,BR11,BR 南京復興,111,142,3,2,2,3,2025-07-14 21:43:44,2025-07-14 21:43:44
"133,166",2,上行,BR10,BR 忠孝復興,133,166,1,1,1,2,2025-07-14 21:43:37,2025-07-14 21:43:37
"103,194",1,下行,BR17,港漧,103,194,2,1,1,1,2025-07-14 21:43:27,2025-07-14 21:43:27
"113,104",2,上行,BR21,葫洲,113,104,1,1,1,1,2025-07-14 21:43:22,2025-07-14 21:43:22
"137,200",2,上行,BR10,BR 忠孝復興,137,200,1,1,2,2,2025-07-14 21:52:17,2025-07-14 21:52:17
"199,128",2,上行,BR23,南港軟體園區,199,128,1,1,2,1,2025-07-14 21:51:45,2025-07-14 21:51:45
"111,142",1,下行,BR07,六張犁,111,142,1,1,1,1,2025-07-14 21:51:44,2025-07-14 21:51:44
"101,114",1,下行,BR18,文德,101,114,1,1,1,1,2025-07-14 21:51:43,2025-07-14 21:51:43
"127,120",1,下行,BR15,劍南路,127,120,1,1,1,1,2025-07-14 21:51:37,2025-07-14 21:51:37
"157,112",1,下行,BR21,葫洲,157,112,1,1,1,1,2025-07-14 21:51:28,2025-07-14 21:51:28
"183,118",2,上行,BR03,萬芳社區,183,118,1,1,1,1,2025-07-14 21:51:26,2025-07-14 21:51:26
"135,201",2,上行,BR18,文德,135,201,2,1,2,2,2025-07-14 21:51:14,2025-07-14 21:51:14
"191,126",2,上行,BR05,辛亥,191,126,1,1,1,1,2025-07-14 21:51:11,2025-07-14 21:51:11
"137,200",2,上行,BR09,BR 大安,137,200,1,1,1,2,2025-07-14 21:50:23,2025-07-14 21:50:23
"101,114",1,下行,BR19,內湖,101,114,1,1,1,1,2025-07-14 21:49:58,2025-07-14 21:49:58
"199,128",2,上行,BR22,東湖,199,128,1,1,2,1,2025-07-14 21:49:54,2025-07-14 21:49:54
"133,166",2,上行,BR13,松山機場,133,166,3,1,2,2,2025-07-14 21:49:51,2025-07-14 21:49:51
"135,201",2,上行,BR17,港漧,135,201,2,2,2,2,2025-07-14 21:49:50,2025-07-14 21:49:50
"157,112",1,下行,BR22,東湖,157,112,1,1,1,1,2025-07-14 21:49:45,2025-07-14 21:49:45
"103,194",1,下行,BR14,大直,103,194,3,2,1,1,2025-07-14 21:49:21,2025-07-14 21:49:21
"113,104",2,上行,BR24,BR 南港展覽館,113,104,1,1,1,1,2025-07-14 21:49:20,2025-07-14 21:49:20
"111,142",1,下行,BR08,科技大樓,111,142,2,2,1,2,2025-07-14 21:49:17,2025-07-14 21:49:17
"127,120",1,下行,BR16,西湖,127,120,1,1,1,1,2025-07-14 21:49:14,2025-07-14 21:49:14
"191,126",2,上行,BR04,萬芳醫院,191,126,1,1,1,1,2025-07-14 21:49:01,2025-07-14 21:49:01
"137,200",2,上行,BR08,科技大樓,137,200,1,1,1,1,2025-07-14 21:48:36,2025-07-14 21:48:36
"135,201",2,上行,BR16,西湖,135,201,2,2,1,2,2025-07-14 21:48:20,2025-07-14 21:48:20
"101,114",1,下行,BR20,大湖公園,101,114,1,1,1,1,2025-07-14 21:48:19,2025-07-14 21:48:19
"199,128",2,上行,BR21,葫洲,199,128,1,1,3,1,2025-07-14 21:48:11,2025-07-14 21:48:11
"103,194",1,下行,BR11,BR 南京復興,103,194,3,2,2,2,2025-07-14 21:57:24,2025-07-14 21:57:24
"157,112",1,下行,BR18,文德,157,112,1,1,1,1,2025-07-14 21:57:16,2025-07-14 21:57:16
"135,201",2,上行,BR21,葫洲,135,201,1,1,1,1,2025-07-14 21:57:16,2025-07-14 21:57:16
"101,114",1,下行,BR15,劍南路,101,114,2,1,1,2,2025-07-14 21:57:14,2025-07-14 21:57:14
"113,104",1,下行,BR24,BR 南港展覽館,113,104,1,2,1,1,2025-07-14 21:56:59,2025-07-14 21:56:59
"127,120",1,下行,BR13,松山機場,127,120,2,1,2,2,2025-07-14 21:56:57,2025-07-14 21:56:57
